AccessRecordID,EmployeeID,ApplicationID,Role,PrivilegeLevel,MFAEnabled,LastAccessReviewDate
UA076,EMP013,APP006,Ledger Manager,Elevated,Yes,2026-01-19
UA077,EMP014,APP006,Accountant,Standard,Yes,2026-01-28
UA078,EMP025,APP001,Junior Analyst,Standard,Yes,2026-01-27
UA079,EMP026,APP006,Auditor,Standard,Yes,2026-01-29
UA080,EMP036,APP007,Payroll Specialist,Standard,Yes,2026-01-19
UA081,EMP065,APP006,Auditor,Standard,Yes,2026-01-29
UA082,EMP066,APP006,Senior Accountant,Standard,Yes,2026-01-25
UA083,EMP067,APP001,Junior Analyst,Standard,Yes,2026-01-27
UA084,EMP004,APP003,HR Manager,Elevated,Yes,2026-01-18
UA085,EMP004,APP007,Payroll Admin,Elevated,Yes,2026-01-18
UA086,EMP017,APP003,HR Specialist,Standard,Yes,2026-01-17
UA087,EMP055,APP003,Recruiter,Standard,Yes,2026-01-18
UA088,EMP073,APP003,HR Coordinator,Standard,Yes,2026-01-18
UA089,EMP096,APP003,Recruiter,Standard,Yes,2026-01-18
UA090,EMP007,APP002,Sales Manager,Elevated,Yes,2026-01-15
UA091,EMP007,APP013,Sales Manager,Elevated,Yes,2026-01-15
UA092,EMP023,APP002,Sales Rep,Standard,Yes,2026-01-16
UA093,EMP024,APP002,Sales Rep,Standard,Yes,2026-01-16
UA094,EMP074,APP002,Sales Rep,Standard,Yes,2026-01-16
UA095,EMP075,APP002,Sales Rep,Standard,Yes,2026-01-16
UA096,EMP076,APP002,Account Executive,Standard,Yes,2026-01-17
UA097,EMP041,APP002,Account Executive,Standard,Yes,2026-01-17
UA098,EMP042,APP002,Account Executive,Standard,Yes,2026-01-17
UA099,EMP021,APP014,Marketing Manager,Elevated,Yes,2026-01-14
UA100,EMP021,APP038,Marketing Manager,Elevated,Yes,2026-01-14
UA101,EMP022,APP014,Designer,Standard,Yes,2026-01-21
UA102,EMP043,APP014,Content Writer,Standard,Yes,2026-01-21
UA103,EMP044,APP014,SEO Specialist,Standard,Yes,2026-01-22
UA104,EMP077,APP014,Marketing Analyst,Standard,Yes,2026-01-21
UA105,EMP078,APP014,Designer,Standard,Yes,2026-01-22
UA106,EMP079,APP014,Content Writer,Standard,Yes,2026-01-21
UA107,EMP080,APP014,SEO Specialist,Standard,Yes,2026-01-22
UA108,EMP031,APP035,Operations Manager,Elevated,Yes,2026-01-20
UA109,EMP031,APP036,Operations Manager,Elevated,Yes,2026-01-20
UA110,EMP032,APP035,Operations Coordinator,Standard,Yes,2026-01-24
UA111,EMP033,APP036,Operations Analyst,Standard,Yes,2026-01-26
UA112,EMP056,APP035,Operations Analyst,Standard,Yes,2026-01-24
UA113,EMP057,APP036,Operations Coordinator,Standard,Yes,2026-01-26
UA114,EMP085,APP035,Operations Analyst,Standard,Yes,2026-01-24
UA115,EMP086,APP036,Operations Coordinator,Standard,Yes,2026-01-26
UA116,EMP087,APP035,Operations Analyst,Standard,Yes,2026-01-24
UA117,EMP088,APP036,Operations Coordinator,Standard,Yes,2026-01-26
UA118,EMP099,APP036,Operations Coordinator,Standard,Yes,2026-01-26
UA119,EMP100,APP002,Sales Rep,Standard,Yes,2026-01-16
